CompanyId,CompanyName,ABN,AddressType,Address,Locale,Jurisdiction,Postcode,CompanyPhone,CompanyFax,LastUpdate
131,Australian Competition & Consumer Commis,94 410 483 623,Head Office,"Level 35, The Tower, 360 Elizabeth Street (GPO Box 520)",Melbourne,VI   ,3001,03 9290 1800        ,03 9663 3699        ,26/09/2018 19:30
13,Australian Energy Market Operator Ltd,94 072 010 327,Head Office,,Melbourne,VI   ,3001,03 9609 8000        ,03 9609 8080        ,26/09/2018 19:30
97,Australian Pacific LNG CSG Marketing P/L,72 008 750 945,Head Office,,Sydney,NSW  ,2000,,,26/09/2018 19:30
133,B P Australia Pty Ltd,53 004 085 616,Head Office,Level 17 717 Bourke Street (GPO Box 5222),Docklands,VI   ,3008,03 9268 4111        ,,26/09/2018 19:30
103,BHP Billiton Cannington Pty Ltd,48 125 530 967,Head Office,Cannington Mine via McKinley PO Box 5874,Townsville,QLD  ,4810,,,26/09/2018 19:30
35,BHP Billiton Petroleum (Bass Strait) P/L,29 004 228 004,Head Office,,Perth,,6000,03 9609 2478        ,99 9999 9999        ,24/07/2018 19:30
209,BHP Billiton Petroleum (Victoria) P/L,12006466486,Head Office,,Perth,WA   ,6000,61 8 6321 3687      ,61 8 6322 3687      ,26/09/2018 19:30
102,BHP Billiton Petroleum Pty Ltd,97 006 918 832,Head Office,Level 27 BHP Billiton Centre 180 Lonsdale St,Melbourne,VI   ,3000,,,26/09/2018 19:30
251,BOC Limited,95000029729,Head Office,,NORTH RYDE,NSW  ,2113,401760644,03 92878468         ,26/09/2018 19:30
99,Boyne Smelters Limited,90 010 061 935,Head Office,,Boyne Island,QLD  ,4680,,,26/09/2018 19:30
110,Braemar Power Project Pty Ltd,54 113 386 600,Head Office,,Sydney,NSW  ,2000,293752600,61293722610,26/09/2018 19:30
237,Caltex Refineries (QLD) Pty Ltd,46008425581,Head Office,,Lytton,QLD  ,4178,07 3362 7183        ,07 3362 7111        ,26/09/2018 19:30
200,Castleton Commodities Merchant Asia Co,52 153 463 846,Head Office,,Singapore,,481,65 6692 0312        ,,26/09/2018 19:30
